address,leaderboard_pnl,leaderboard_volume,leaderboard_username,snapshot_url,name,x_username,verified,copyability_score,score_profitability,score_stability,score_copyability,score_focus,score_execution,realized_pnl_90d,avg_trade_pnl_90d,profit_factor_90d,win_rate_90d,max_drawdown_90d,max_losing_streak_90d,weekly_vol_90d,avg_trades_per_day_30d,avg_hold_hours_90d,near_settlement_ratio_90d,crypto_ratio,btc_ratio,market_concentration_hhi,median_trade_notional,avg_trade_notional,trades_count,closed_positions_count,buy_count_with_open_time,near_open_buy_ratio_10m,near_open_buy_ratio_30m,avg_open_delay_min,median_open_delay_min,cycle5_window_count,cycle5_first_minute_single_count,cycle5_first_minute_single_ratio,high_win_near_open
0x098f194dada98c0b046a5d85c8ddb7f27b0b3da0,8703.327300570005,845029.665378,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x098f194dada98c0b046a5d85c8ddb7f27b0b3da0,sgnnntks2342,,False,53.65,38.13,89.44,15.0,70.1,80.91,67.6937,1.3539,1.1322,0.5,68.0627,2,0.0,33.3333,0.0,0.0,1.0,1.0,0.0033,4.7139,36.2128,1000,50,0.0,0.0,0.0,0.0,0.0,517.0,3.0,0.0058,False
0x85abaaf67987390cb39094c6599af30ff56861ac,5583.198992000009,62249.37861700001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x85abaaf67987390cb39094c6599af30ff56861ac,0x85abAAf67987390Cb39094C6599Af30ff56,,False,53.63,60.79,82.32,40.02,51.75,0.0,302.2482,6.045,2.3706,0.86,142.8698,3,0.0,0.3333,0.0,0.0,0.8197,0.5738,0.0175,2174.83,2531.2831,61,50,0.0,0.0,0.0,0.0,0.0,59.0,55.0,0.9322,False
0xea48fde115f3b0eb3cebbbf654b0f9ca2710f2b2,10003.564830716086,56751.28801,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xea48fde115f3b0eb3cebbbf654b0f9ca2710f2b2,0xEa48FDE115F3B0eb3CebBBf654b0F9Ca2710F2b2-1766519787478,,False,53.59,76.59,54.22,15.0,52.92,81.27,566.4447,11.3289,5.378,0.3,95.4229,12,183.7309,17.6,0.0,0.0,0.851,0.581,0.0033,6.815,14.2191,1000,50,0.0,0.0,0.0,0.0,0.0,369.0,125.0,0.3388,False
0xe79cb0325457e8127071052c0d93a5b10194c715,4662.247569249822,5849.055713000001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xe79cb0325457e8127071052c0d93a5b10194c715,oryn69,SamirA4A,False,53.52,100.0,18.75,41.38,7.75,100.0,15210.0037,543.2144,3.2919,0.6786,2939.5854,3,5129.2577,0.4333,0.0,0.0,0.129,0.0573,0.0169,200.0,330.593,279,49,0.0,0.0,0.0,0.0,0.0,145.0,15.0,0.1034,False
0x150aa5ea3dc425bbb6dd57edaf23e450e687cc42,5428.932069999997,56565.48030899999,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x150aa5ea3dc425bbb6dd57edaf23e450e687cc42,magicpol231,,False,53.49,77.51,66.05,41.84,40.28,2.53,597.6176,11.9524,10.5133,0.9,32.25,2,444.8094,0.4667,0.0,0.0,0.6444,0.4222,0.0242,1013.3244,2004.5355,45,50,0.0,0.0,0.0,0.0,0.0,44.0,41.0,0.9318,False
0xf841f268b8326fc38a9ec51a3fe552d2cd66915b,19647.295815062414,193417.769076,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xf841f268b8326fc38a9ec51a3fe552d2cd66915b,ImTestingInProd,,False,53.48,64.45,54.98,15.0,70.11,88.25,761.3708,15.2274,1.4878,0.56,750.4241,3,0.0,33.3333,0.0,0.0,1.0,1.0,0.0036,50.0,75.4024,1000,50,0.0,0.0,0.0,0.0,0.0,425.0,9.0,0.0212,False
0x1642c4d0c34893d62bc2c66089cf22665c6f1eca,5055.904771574481,106658.213076,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x1642c4d0c34893d62bc2c66089cf22665c6f1eca,tyutyuvbnvbnjmgh,,False,53.45,84.27,28.75,51.82,71.42,5.14,11493.497,478.8957,1.6521,0.5833,13956.1294,7,0.0,1.2333,0.0,0.0,1.0,1.0,0.0475,930.9996,987.767,37,24,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.1429,False
0x0ea574f3204c5c9c0cdead90392ea0990f4d17e4,63784.02255680907,667406.5980160001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x0ea574f3204c5c9c0cdead90392ea0990f4d17e4,0x0eA574F3204C5c9C0cdEad90392ea0990F4D17e4-1769515653156,,False,53.41,77.49,40.0,15.0,70.46,86.51,2306.0647,46.1213,1.1083,0.54,9603.0108,4,0.0,33.3333,0.0,0.0,1.0,1.0,0.0153,38.4788,68.9317,1000,50,0.0,0.0,0.0,0.0,0.0,140.0,8.0,0.0571,False
0x95ea80e6c696bd59642fa7ac0daac62188ebb94c,14157.2396795064,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x95ea80e6c696bd59642fa7ac0daac62188ebb94c,sta2g,,False,53.39,71.6,47.5,15.0,70.28,85.01,1211.2453,24.2249,1.2099,0.5,1729.1412,2,0.0,33.3333,0.0,0.0,1.0,1.0,0.0093,29.0,34.3098,1000,50,0.0,0.0,0.0,0.0,0.0,222.0,15.0,0.0676,False
0xe89ea370d21cfe36a27c4236f348a884c36b0600,16322.494415985711,2632443.752235,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xe89ea370d21cfe36a27c4236f348a884c36b0600,0xe89EA370d21CfE36a27C4236f348A884C36b0600-1769549080364,,False,53.28,78.1,43.75,15.0,62.52,85.57,7193.6655,143.8733,1.1225,0.52,16309.787,3,0.0,33.3333,0.0,0.0,1.0,0.671,0.0248,32.5,118.2533,1000,50,0.0,0.0,0.0,0.0,0.0,164.0,8.0,0.0488,False
0xaeb5995237bf757fbcea23949db3bb369f7fadcc,25375.663184210855,97145.99,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xaeb5995237bf757fbcea23949db3bb369f7fadcc,drcopper,,False,53.18,87.19,75.0,15.0,50.62,0.81,1823.9564,36.4791,2.0,1.0,0.0,0,749.2826,11.7333,0.0,0.0,0.8295,0.5114,0.0168,1131.2269,1569.3221,352,50,0.0,0.0,0.0,0.0,0.0,160.0,98.0,0.6125,False
0x8fe9f78102c6f550b6bb88ba695e45917df2c6dc,5202.241912121892,0.0,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x8fe9f78102c6f550b6bb88ba695e45917df2c6dc,polbotlogi,,False,53.15,99.41,18.75,15.0,65.04,81.1,12162.6841,243.2537,2.9494,0.76,1749.9977,3,3888.4563,33.3333,0.0,0.0,0.917,0.917,0.0283,5.825,85.5474,1000,50,0.0,0.0,0.0,0.0,0.0,143.0,17.0,0.1189,False
0x4a9eacb1aaf3c5f53cd23e19b5942681da628716,7987.582942704728,1908.617022,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x4a9eacb1aaf3c5f53cd23e19b5942681da628716,ToSTrump,,False,53.01,22.5,100.0,43.2,26.64,86.15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5667,0.0,0.0,0.3529,0.2353,0.1626,36.2048,122.5055,17,0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.1,False
0x2a888e676a5acead348923b2289f533c2aad438a,29033.368616653697,313584.487703,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x2a888e676a5acead348923b2289f533c2aad438a,funkybutchunky,,False,52.9,37.97,86.11,15.0,70.2,81.72,47.3312,0.9466,1.1811,0.56,58.5738,3,0.0,33.3333,0.0,0.0,1.0,1.0,0.0067,9.4,10.6771,1000,50,0.0,0.0,0.0,0.0,0.0,191.0,12.0,0.0628,False
0x24ca37de07bc887c782129b7447cce4794ea5829,7457.269081971294,81889.18307500001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x24ca37de07bc887c782129b7447cce4794ea5829,3j2ei23098ui,,False,52.83,44.9,87.9,15.0,53.63,80.53,119.5482,2.391,1.5542,0.68,102.132,2,0.0,33.3333,0.0,0.0,0.765,0.747,0.0177,2.6,10.2424,1000,50,0.0,0.0,0.0,0.0,0.0,166.0,15.0,0.0904,False
0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,196307.8005829907,16119609.160767,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0xb27bc932bf8110d8f78e55da7d5f0497a18b5b82,0xB27BC932bf8110D8F78e55da7d5f0497A18B5b82-1772569391020,,False,52.81,80.43,43.75,15.0,57.17,81.88,8561.9069,171.2381,1.3223,0.6,10169.8983,3,0.0,33.3333,0.0,0.0,1.0,0.357,0.1082,10.32,20.9943,1000,50,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False
0x5bde889dc26b097b5eaa2f1f027e01712ebccbb7,85972.58781091149,3481937.944382001,,https://data-api.polymarket.com/v1/accounting/snapshot?user=0x5bde889dc26b097b5eaa2f1f027e01712ebccbb7,delta99core,,False,52.8,69.31,65.93,15.0,41.78,81.23,1025.5517,20.511,1.351,0.54,507.1516,3,0.0,33.3333,0.0,0.0,0.726,0.304,0.0505,6.565,12.4483,1000,50,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,False
